date,feature1,feature2,target
2024-01-01,10.75,5.22,102.04
2024-01-02,9.9,5.08,93.24
2024-01-03,11.19,5.23,108.65
2024-01-04,12.61,4.43,107.59
2024-01-05,10.09,5.3,108.2
2024-01-06,10.2,5.84,113.48
2024-01-07,13.03,6.86,118.49
2024-01-08,11.92,6.44,116.77
2024-01-09,10.17,7.7,103.96
2024-01-10,11.8,4.85,108.15
2024-01-11,10.4,6.56,112.72
2024-01-12,10.51,5.94,117.19
2024-01-13,11.68,8.01,120.76
2024-01-14,8.55,5.08,115.55
2024-01-15,8.95,5.12,121.02
2024-01-16,10.8,5.43,117.11
2024-01-17,10.23,3.97,118.53
2024-01-18,12.33,5.64,115.14
2024-01-19,10.61,5.47,118.04
2024-01-20,9.96,6.45,116.28
2024-01-21,14.39,6.71,118.44
2024-01-22,11.96,8.31,128.78
2024-01-23,12.51,7.46,118.86
2024-01-24,10.38,6.0,136.79
2024-01-25,11.81,5.75,126.04
2024-01-26,12.91,7.2,124.38
2024-01-27,11.12,5.46,118.99
2024-01-28,13.52,8.68,126.56
2024-01-29,12.17,8.1,119.92
2024-01-30,12.74,6.52,123.12
2024-01-31,12.39,5.34,135.01
2024-02-01,16.18,8.48,121.42
2024-02-02,13.49,7.08,127.35
2024-02-03,12.03,8.5,117.81
2024-02-04,14.96,5.73,120.89
2024-02-05,12.0,6.8,129.71
2024-02-06,14.26,7.47,117.55
2024-02-07,11.12,7.58,129.64
2024-02-08,12.17,7.15,124.07
2024-02-09,14.57,8.29,117.75
2024-02-10,15.49,6.67,123.84
2024-02-11,14.75,7.67,125.75
2024-02-12,14.43,8.0,124.29
2024-02-13,14.26,8.46,113.73
2024-02-14,12.6,8.73,118.45
2024-02-15,13.85,6.96,121.45
2024-02-16,14.35,6.62,123.03
2024-02-17,16.74,9.5,127.33
2024-02-18,15.78,8.62,126.04
2024-02-19,12.73,7.61,119.5
2024-02-20,15.97,9.98,129.21
2024-02-21,15.01,8.61,131.58
2024-02-22,14.68,9.74,132.64
2024-02-23,16.73,8.7,136.65
2024-02-24,17.46,10.76,136.89
2024-02-25,17.42,10.52,136.56
2024-02-26,14.88,8.59,135.52
2024-02-27,15.78,9.88,129.22
2024-02-28,16.85,9.62,141.37
2024-02-29,17.93,10.41,141.99
2024-03-01,15.86,8.14,144.06
2024-03-02,16.41,9.86,138.08
2024-03-03,15.14,10.3,140.81
2024-03-04,15.11,7.56,153.22
2024-03-05,18.23,8.2,149.48
2024-03-06,19.16,7.41,154.77
2024-03-07,17.12,9.25,153.15
2024-03-08,18.85,10.31,154.74
2024-03-09,17.99,11.16,160.81
2024-03-10,16.59,9.8,154.99
2024-03-11,18.21,11.42,159.42
2024-03-12,20.09,8.48,157.91
2024-03-13,17.84,8.23,159.24
2024-03-14,20.35,9.94,160.96
2024-03-15,14.18,10.45,164.62
2024-03-16,19.45,10.1,162.0
2024-03-17,18.46,8.14,171.46
2024-03-18,17.99,10.18,161.38
2024-03-19,18.69,9.04,165.49
2024-03-20,15.68,11.08,164.69
2024-03-21,18.44,10.85,174.49
2024-03-22,19.41,9.61,168.51
2024-03-23,21.2,10.1,172.86
2024-03-24,18.32,9.63,160.36
2024-03-25,17.99,10.69,169.13
2024-03-26,18.56,11.78,172.18
2024-03-27,20.8,9.9,168.01
2024-03-28,20.03,11.46,172.74
2024-03-29,18.85,10.5,164.6
2024-03-30,20.52,10.3,173.97
2024-03-31,20.01,11.06,178.12
2024-04-01,21.43,10.2,164.51
2024-04-02,19.03,10.75,163.79
2024-04-03,19.7,10.17,172.99
2024-04-04,19.71,13.4,173.34
2024-04-05,18.22,11.54,162.58
2024-04-06,20.96,10.88,162.89
2024-04-07,21.02,11.86,163.42
2024-04-08,20.75,11.6,158.01
2024-04-09,20.5,11.56,160.11
2024-04-10,18.84,12.46,159.73
2024-04-11,20.44,12.68,161.04
2024-04-12,20.66,11.46,164.92
2024-04-13,20.08,11.48,166.58
2024-04-14,21.16,11.85,173.58
2024-04-15,22.11,9.89,161.35
2024-04-16,24.45,10.75,171.89
2024-04-17,21.99,13.7,166.63
2024-04-18,22.22,14.04,168.29
2024-04-19,21.83,12.22,172.85
2024-04-20,19.18,13.11,164.91
2024-04-21,22.12,12.91,173.58
2024-04-22,22.36,15.75,173.74
2024-04-23,26.08,13.86,176.7
2024-04-24,22.2,12.68,177.1
2024-04-25,23.06,11.92,189.42
2024-04-26,22.66,11.34,175.51
2024-04-27,21.07,13.22,177.65
2024-04-28,24.65,12.33,178.86
2024-04-29,24.17,11.73,180.9
2024-04-30,24.34,12.57,182.22
2024-05-01,21.9,12.21,193.11
2024-05-02,25.47,15.04,196.02
2024-05-03,21.38,14.31,187.82
2024-05-04,24.47,13.49,188.25
2024-05-05,26.98,15.04,196.49
2024-05-06,22.32,13.71,193.05
2024-05-07,23.07,12.84,200.6
2024-05-08,24.18,15.29,200.03
2024-05-09,23.38,14.37,192.95
2024-05-10,21.92,12.87,209.7
2024-05-11,24.46,13.78,212.3
2024-05-12,22.87,13.17,201.53
2024-05-13,25.29,12.73,203.83
2024-05-14,23.31,15.1,208.28
2024-05-15,27.12,16.16,209.5
2024-05-16,23.73,12.92,211.99
2024-05-17,24.53,14.95,219.52
2024-05-18,26.34,13.8,209.24
2024-05-19,23.39,14.03,206.69
2024-05-20,25.68,14.0,204.23
2024-05-21,27.41,13.79,207.82
2024-05-22,23.15,14.77,211.56
2024-05-23,25.95,13.96,220.86
2024-05-24,26.17,15.13,209.37
2024-05-25,27.06,14.88,213.07
2024-05-26,24.14,14.76,211.8
2024-05-27,24.13,14.16,217.68
2024-05-28,27.0,14.56,224.18
2024-05-29,26.77,15.96,208.65
2024-05-30,26.81,15.77,208.59
2024-05-31,27.07,14.36,215.97
2024-06-01,25.64,15.51,213.85
2024-06-02,27.12,16.23,219.37
2024-06-03,27.32,13.88,212.76
2024-06-04,25.91,16.16,207.77
2024-06-05,29.89,15.02,212.28
2024-06-06,27.92,16.32,214.67
2024-06-07,25.53,15.06,213.08
2024-06-08,28.41,14.09,211.42
2024-06-09,26.07,14.33,214.2
2024-06-10,28.82,16.08,214.78
2024-06-11,29.49,16.36,215.98
2024-06-12,26.63,15.26,212.55
2024-06-13,29.42,16.87,208.81
2024-06-14,28.7,14.64,210.81
2024-06-15,29.42,16.3,216.64
2024-06-16,31.15,15.23,207.17
2024-06-17,28.04,15.86,213.84
2024-06-18,27.39,16.62,210.89
2024-06-19,27.3,15.78,213.96
2024-06-20,27.52,16.33,221.27
2024-06-21,28.73,17.79,216.99
2024-06-22,29.47,16.27,217.52
2024-06-23,29.48,17.75,211.84
2024-06-24,30.42,15.86,223.79
2024-06-25,29.31,17.58,224.79
2024-06-26,31.58,18.56,233.94
2024-06-27,29.11,14.72,223.21
2024-06-28,33.7,16.46,227.52
2024-06-29,30.66,17.91,229.38
2024-06-30,28.55,17.19,237.76
2024-07-01,28.34,17.84,231.14
2024-07-02,30.78,16.93,234.77
2024-07-03,29.83,17.69,238.17
2024-07-04,31.34,17.52,237.8
2024-07-05,31.09,18.91,236.35
2024-07-06,30.38,18.06,241.22
2024-07-07,29.33,18.21,247.24
2024-07-08,28.44,17.53,238.31
2024-07-09,30.15,17.53,245.6
2024-07-10,32.22,17.65,242.86
2024-07-11,31.36,18.55,253.68
2024-07-12,29.28,17.8,241.35
2024-07-13,31.52,18.58,247.33
2024-07-14,31.95,20.43,253.07
2024-07-15,30.15,19.3,259.97
2024-07-16,31.82,18.17,252.67
2024-07-17,31.79,19.76,250.97
2024-07-18,30.09,18.22,263.8
2024-07-19,32.45,16.66,247.69
2024-07-20,32.87,17.76,244.37
2024-07-21,33.76,16.96,257.89
2024-07-22,33.83,18.55,253.42
2024-07-23,30.29,18.99,250.97
2024-07-24,31.06,20.72,259.67
2024-07-25,33.35,19.44,257.33
2024-07-26,33.46,18.96,253.21
2024-07-27,33.57,20.08,249.47
2024-07-28,38.68,17.1,260.04
2024-07-29,33.87,19.62,258.68
2024-07-30,34.83,20.22,254.66
2024-07-31,34.66,18.04,264.1
2024-08-01,34.32,20.73,249.21
2024-08-02,32.98,20.0,246.63
2024-08-03,34.7,19.31,250.5
2024-08-04,32.51,20.43,253.46
2024-08-05,33.43,22.13,254.67
2024-08-06,33.16,20.11,252.06
2024-08-07,34.12,20.25,254.88
2024-08-08,37.58,19.61,246.79
2024-08-09,31.42,19.29,260.26
2024-08-10,35.36,21.04,252.7
2024-08-11,32.02,19.42,258.86
2024-08-12,33.84,20.41,255.24
2024-08-13,36.29,19.93,256.16
2024-08-14,34.86,20.96,257.17
2024-08-15,33.26,20.88,257.11
2024-08-16,33.91,21.65,258.75
2024-08-17,36.12,20.17,262.95
2024-08-18,34.11,20.48,258.16
2024-08-19,35.64,19.84,261.69
2024-08-20,35.49,20.45,258.78
2024-08-21,34.56,21.34,267.61
2024-08-22,38.86,21.78,258.29
2024-08-23,36.7,20.17,272.04
2024-08-24,32.83,22.03,264.27
2024-08-25,36.25,22.59,258.83
2024-08-26,35.09,21.71,268.2
2024-08-27,37.47,23.25,265.79
2024-08-28,35.11,20.66,275.07
2024-08-29,36.24,20.26,269.32
2024-08-30,37.28,19.8,272.09
2024-08-31,37.93,23.14,266.63
2024-09-01,34.94,22.37,275.58
2024-09-02,36.35,21.73,267.47
2024-09-03,36.25,22.13,273.4
2024-09-04,36.09,20.79,286.83
2024-09-05,39.83,24.43,288.62
2024-09-06,37.9,22.18,288.43
2024-09-07,35.51,22.23,283.03
2024-09-08,38.88,22.92,289.11
2024-09-09,40.8,22.74,290.74
2024-09-10,39.27,22.55,286.3
2024-09-11,35.56,21.61,300.85
2024-09-12,37.22,22.94,298.86
2024-09-13,39.96,24.42,294.42
2024-09-14,37.1,23.95,296.6
2024-09-15,38.94,24.26,298.34
2024-09-16,39.55,22.23,287.82
2024-09-17,37.1,21.82,297.42
2024-09-18,38.51,22.75,295.76
2024-09-19,33.85,23.0,294.58
2024-09-20,37.29,24.11,298.5
2024-09-21,38.55,21.39,309.11
2024-09-22,37.17,24.68,303.46
2024-09-23,41.6,23.06,297.44
2024-09-24,37.12,22.86,303.13
2024-09-25,38.71,22.34,307.17
2024-09-26,39.68,21.77,304.64
2024-09-27,41.75,24.32,300.1
2024-09-28,37.54,23.63,296.32
2024-09-29,41.55,22.34,302.77
2024-09-30,39.93,22.4,300.95
2024-10-01,38.56,23.43,303.15
2024-10-02,40.83,25.5,301.55
2024-10-03,40.55,23.64,303.33
2024-10-04,39.46,22.47,295.14
2024-10-05,40.57,23.8,304.17
2024-10-06,40.0,23.84,298.39
2024-10-07,40.86,21.48,307.65
2024-10-08,41.79,24.19,293.76
2024-10-09,43.28,24.08,305.89
2024-10-10,39.16,25.08,298.29
2024-10-11,44.32,26.3,294.22
2024-10-12,38.3,25.65,295.32
2024-10-13,41.11,24.32,296.51
2024-10-14,42.33,23.55,300.69
2024-10-15,41.98,27.3,301.76
2024-10-16,40.74,24.85,296.95
2024-10-17,41.47,24.88,300.48
2024-10-18,41.15,24.91,312.21
2024-10-19,41.12,25.2,311.13
2024-10-20,43.38,24.92,305.77
2024-10-21,42.75,24.56,304.97
2024-10-22,41.29,24.66,306.66
2024-10-23,43.79,25.24,310.5
2024-10-24,43.01,24.8,303.77
2024-10-25,43.88,24.7,309.12
2024-10-26,43.71,25.59,303.65
2024-10-27,41.63,25.29,315.63
2024-10-28,42.15,27.12,318.56
2024-10-29,44.22,23.03,314.63
2024-10-30,44.12,26.84,326.65
2024-10-31,43.28,27.07,314.41
2024-11-01,43.6,23.82,314.98
2024-11-02,45.45,25.62,325.17
2024-11-03,42.76,25.66,331.01
2024-11-04,44.57,24.69,335.89
2024-11-05,43.56,25.39,326.84
2024-11-06,43.65,25.12,336.13
2024-11-07,45.73,28.05,332.09
2024-11-08,45.43,27.31,332.89
2024-11-09,45.52,27.71,339.57
2024-11-10,46.37,27.23,339.73
2024-11-11,44.55,25.45,329.81
2024-11-12,45.65,26.12,346.21
2024-11-13,44.27,27.2,346.75
2024-11-14,45.34,25.56,337.65
2024-11-15,44.76,27.56,343.57
2024-11-16,45.21,26.68,344.78
2024-11-17,46.07,26.61,344.22
2024-11-18,44.06,27.77,340.66
2024-11-19,48.54,27.57,340.46
2024-11-20,44.0,26.83,343.99
2024-11-21,43.8,28.42,350.18
2024-11-22,47.46,26.25,347.15
2024-11-23,47.02,28.01,342.61
2024-11-24,46.88,28.06,348.28
2024-11-25,47.0,27.22,330.07
2024-11-26,46.15,27.93,349.89
2024-11-27,44.93,26.42,335.23
2024-11-28,46.5,28.66,341.87
2024-11-29,45.48,27.62,337.8
2024-11-30,48.07,27.35,336.62
2024-12-01,46.49,28.99,348.59
2024-12-02,45.58,27.31,340.15
2024-12-03,46.45,26.67,343.93
2024-12-04,47.66,26.59,341.71
2024-12-05,46.31,28.83,344.1
2024-12-06,46.03,27.01,341.93
2024-12-07,47.74,30.11,335.01
2024-12-08,47.85,26.34,346.35
2024-12-09,46.83,30.19,338.92
2024-12-10,46.99,28.77,333.71
2024-12-11,48.16,28.53,339.54
2024-12-12,45.75,28.15,349.47
2024-12-13,45.92,29.17,346.6
2024-12-14,47.06,28.8,341.09
2024-12-15,47.93,30.01,341.67
2024-12-16,48.82,29.09,342.5
2024-12-17,50.68,29.19,355.3
2024-12-18,49.86,28.75,347.73
2024-12-19,48.45,29.12,348.98
2024-12-20,48.77,29.55,353.09
2024-12-21,47.4,27.6,350.35
2024-12-22,48.99,28.04,349.16
2024-12-23,48.69,30.2,350.86
2024-12-24,49.72,29.69,352.94
2024-12-25,48.1,29.41,354.65
2024-12-26,50.23,29.68,360.07
2024-12-27,51.86,30.07,358.34
2024-12-28,49.51,29.25,363.44
2024-12-29,50.38,29.08,361.09
2024-12-30,50.93,30.13,363.64
2024-12-31,49.4,29.02,355.01
